SourcePath,Filename,TypeFolder,BaseName,Weapon,Skin,Category,Quality,Dimensions,Variation,IsIcon
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Baroque-Purple.png,AK-47-Baroque-Purple.png,AK-47,ak-47-baroque-purple,ak-47,baroque-purple,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Baroque-Purple-001.png,AK-47-Baroque-Purple-001.png,AK-47,ak-47-baroque-purple,ak-47,baroque-purple,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Baroque-Purple-002.png,AK-47-Baroque-Purple-002.png,AK-47,ak-47-baroque-purple,ak-47,baroque-purple,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Baroque-Purple-003.png,AK-47-Baroque-Purple-003.png,AK-47,ak-47-baroque-purple,ak-47,baroque-purple,weapon,1173120,1920x611,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Crossfade.png,AK-47-Crossfade.png,AK-47,ak-47-crossfade,ak-47,crossfade,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Crossfade-001.png,AK-47-Crossfade-001.png,AK-47,ak-47-crossfade,ak-47,crossfade,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Crossfade-002.png,AK-47-Crossfade-002.png,AK-47,ak-47-crossfade,ak-47,crossfade,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Emerald-Pinstripe-001.png,AK-47-Emerald-Pinstripe-001.png,AK-47,ak-47-emerald-pinstripe,ak-47,emerald-pinstripe,weapon,1173120,1920x611,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Emerald-Pinstripe-002.png,AK-47-Emerald-Pinstripe-002.png,AK-47,ak-47-emerald-pinstripe,ak-47,emerald-pinstripe,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Emerald-Pinstripe-003.png,AK-47-Emerald-Pinstripe-003.png,AK-47,ak-47-emerald-pinstripe,ak-47,emerald-pinstripe,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Emerald-Pinstripe.png,AK-47-Emerald-Pinstripe.png,AK-47,ak-47-emerald-pinstripe,ak-47,emerald-pinstripe,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-First-Class.png,AK-47-First-Class.png,AK-47,ak-47-first-class,ak-47,first-class,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-First-Class-003.png,AK-47-First-Class-003.png,AK-47,ak-47-first-class,ak-47,first-class,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-First-Class-002.png,AK-47-First-Class-002.png,AK-47,ak-47-first-class,ak-47,first-class,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-First-Class-001.png,AK-47-First-Class-001.png,AK-47,ak-47-first-class,ak-47,first-class,weapon,1173120,1920x611,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Hydroponic-001.png,AK-47-Hydroponic-001.png,AK-47,ak-47-hydroponic,ak-47,hydroponic,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Hydroponic-003.png,AK-47-Hydroponic-003.png,AK-47,ak-47-hydroponic,ak-47,hydroponic,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Hydroponic-002.png,AK-47-Hydroponic-002.png,AK-47,ak-47-hydroponic,ak-47,hydroponic,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Hydroponic.png,AK-47-Hydroponic.png,AK-47,ak-47-hydroponic,ak-47,hydroponic,weapon,1173120,1920x611,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jet-Set-001.png,AK-47-Jet-Set-001.png,AK-47,ak-47-jet-set,ak-47,jet-set,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jet-Set-003.png,AK-47-Jet-Set-003.png,AK-47,ak-47-jet-set,ak-47,jet-set,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jet-Set-002.png,AK-47-Jet-Set-002.png,AK-47,ak-47-jet-set,ak-47,jet-set,weapon,1173120,1920x611,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jet-Set.png,AK-47-Jet-Set.png,AK-47,ak-47-jet-set,ak-47,jet-set,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jungle-Spray-001.png,AK-47-Jungle-Spray-001.png,AK-47,ak-47-jungle-spray,ak-47,jungle-spray,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jungle-Spray-003.png,AK-47-Jungle-Spray-003.png,AK-47,ak-47-jungle-spray,ak-47,jungle-spray,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jungle-Spray.png,AK-47-Jungle-Spray.png,AK-47,ak-47-jungle-spray,ak-47,jungle-spray,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Jungle-Spray-002.png,AK-47-Jungle-Spray-002.png,AK-47,ak-47-jungle-spray,ak-47,jungle-spray,weapon,1173120,1920x611,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Midnight-Laminate.png,AK-47-Midnight-Laminate.png,AK-47,ak-47-midnight-laminate,ak-47,midnight-laminate,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Midnight-Laminate-001.png,AK-47-Midnight-Laminate-001.png,AK-47,ak-47-midnight-laminate,ak-47,midnight-laminate,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Midnight-Laminate-002.png,AK-47-Midnight-Laminate-002.png,AK-47,ak-47-midnight-laminate,ak-47,midnight-laminate,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Nouveau-Rouge.png,AK-47-Nouveau-Rouge.png,AK-47,ak-47-nouveau-rouge,ak-47,nouveau-rouge,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Nouveau-Rouge-001.png,AK-47-Nouveau-Rouge-001.png,AK-47,ak-47-nouveau-rouge,ak-47,nouveau-rouge,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Nouveau-Rouge-002.png,AK-47-Nouveau-Rouge-002.png,AK-47,ak-47-nouveau-rouge,ak-47,nouveau-rouge,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Olive-Polycam-001.png,AK-47-Olive-Polycam-001.png,AK-47,ak-47-olive-polycam,ak-47,olive-polycam,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Olive-Polycam-002.png,AK-47-Olive-Polycam-002.png,AK-47,ak-47-olive-polycam,ak-47,olive-polycam,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Olive-Polycam.png,AK-47-Olive-Polycam.png,AK-47,ak-47-olive-polycam,ak-47,olive-polycam,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Predator-003.png,AK-47-Predator-003.png,AK-47,ak-47-predator,ak-47,predator,weapon,1173120,1920x611,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Predator-002.png,AK-47-Predator-002.png,AK-47,ak-47-predator,ak-47,predator,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Predator-001.png,AK-47-Predator-001.png,AK-47,ak-47-predator,ak-47,predator,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Predator.png,AK-47-Predator.png,AK-47,ak-47-predator,ak-47,predator,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-VariCamo-Grey-001.png,AK-47-VariCamo-Grey-001.png,AK-47,ak-47-varicamo-grey,ak-47,varicamo-grey,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-VariCamo-Grey-002.png,AK-47-VariCamo-Grey-002.png,AK-47,ak-47-varicamo-grey,ak-47,varicamo-grey,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-VariCamo-Grey.png,AK-47-VariCamo-Grey.png,AK-47,ak-47-varicamo-grey,ak-47,varicamo-grey,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wild-Lotus.png,AK-47-Wild-Lotus.png,AK-47,ak-47-wild-lotus,ak-47,wild-lotus,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wild-Lotus-001.png,AK-47-Wild-Lotus-001.png,AK-47,ak-47-wild-lotus,ak-47,wild-lotus,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wild-Lotus-002.png,AK-47-Wild-Lotus-002.png,AK-47,ak-47-wild-lotus,ak-47,wild-lotus,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wild-Lotus-003.png,AK-47-Wild-Lotus-003.png,AK-47,ak-47-wild-lotus,ak-47,wild-lotus,weapon,1173120,1920x611,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wintergreen.png,AK-47-Wintergreen.png,AK-47,ak-47-wintergreen,ak-47,wintergreen,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wintergreen-001.png,AK-47-Wintergreen-001.png,AK-47,ak-47-wintergreen,ak-47,wintergreen,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-Wintergreen-002.png,AK-47-Wintergreen-002.png,AK-47,ak-47-wintergreen,ak-47,wintergreen,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-X-Ray-001.png,AK-47-X-Ray-001.png,AK-47,ak-47-x-ray,ak-47,x-ray,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-X-Ray-003.png,AK-47-X-Ray-003.png,AK-47,ak-47-x-ray,ak-47,x-ray,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-X-Ray-002.png,AK-47-X-Ray-002.png,AK-47,ak-47-x-ray,ak-47,x-ray,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AK-47/AK-47-X-Ray.png,AK-47-X-Ray.png,AK-47,ak-47-x-ray,ak-47,x-ray,weapon,1173120,1920x611,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Akihabara-Accept.png,AUG-Akihabara-Accept.png,AUG,aug-akihabara-accept,aug,akihabara-accept,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Akihabara-Accept-001.png,AUG-Akihabara-Accept-001.png,AUG,aug-akihabara-accept,aug,akihabara-accept,weapon,1653120,1920x861,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Akihabara-Accept-003.png,AUG-Akihabara-Accept-003.png,AUG,aug-akihabara-accept,aug,akihabara-accept,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Akihabara-Accept-002.png,AUG-Akihabara-Accept-002.png,AUG,aug-akihabara-accept,aug,akihabara-accept,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Amber-Fade.png,AUG-Amber-Fade.png,AUG,aug-amber-fade,aug,amber-fade,weapon,1597440,1920x832,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Amber-Fade-002.png,AUG-Amber-Fade-002.png,AUG,aug-amber-fade,aug,amber-fade,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Amber-Fade-001.png,AUG-Amber-Fade-001.png,AUG,aug-amber-fade,aug,amber-fade,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Anodized-Navy.png,AUG-Anodized-Navy.png,AUG,aug-anodized-navy,aug,anodized-navy,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Anodized-Navy-001.png,AUG-Anodized-Navy-001.png,AUG,aug-anodized-navy,aug,anodized-navy,weapon,1653120,1920x861,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Commando-Company.png,AUG-Commando-Company.png,AUG,aug-commando-company,aug,commando-company,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Commando-Company-002.png,AUG-Commando-Company-002.png,AUG,aug-commando-company,aug,commando-company,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Commando-Company-001.png,AUG-Commando-Company-001.png,AUG,aug-commando-company,aug,commando-company,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Copperhead.png,AUG-Copperhead.png,AUG,aug-copperhead,aug,copperhead,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Copperhead-001.png,AUG-Copperhead-001.png,AUG,aug-copperhead,aug,copperhead,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Copperhead-002.png,AUG-Copperhead-002.png,AUG,aug-copperhead,aug,copperhead,weapon,1653120,1920x861,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Daedalus-002.png,AUG-Daedalus-002.png,AUG,aug-daedalus,aug,daedalus,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Daedalus-003.png,AUG-Daedalus-003.png,AUG,aug-daedalus,aug,daedalus,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Daedalus-001.png,AUG-Daedalus-001.png,AUG,aug-daedalus,aug,daedalus,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Daedalus.png,AUG-Daedalus.png,AUG,aug-daedalus,aug,daedalus,weapon,1653120,1920x861,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Flame-Jörmungandr.png,AUG-Flame-Jörmungandr.png,AUG,aug-flame-j-rmungandr,aug,flame-j-rmungandr,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Flame-Jörmungandr-001.png,AUG-Flame-Jörmungandr-001.png,AUG,aug-flame-j-rmungandr,aug,flame-j-rmungandr,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Flame-Jörmungandr-003.png,AUG-Flame-Jörmungandr-003.png,AUG,aug-flame-j-rmungandr,aug,flame-j-rmungandr,weapon,1653120,1920x861,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Flame-Jörmungandr-002.png,AUG-Flame-Jörmungandr-002.png,AUG,aug-flame-j-rmungandr,aug,flame-j-rmungandr,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Hot-Rod-001.png,AUG-Hot-Rod-001.png,AUG,aug-hot-rod,aug,hot-rod,weapon,1653120,1920x861,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Hot-Rod.png,AUG-Hot-Rod.png,AUG,aug-hot-rod,aug,hot-rod,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Lil-Pig.png,AUG-Lil-Pig.png,AUG,aug-lil-pig,aug,lil-pig,weapon,196608,512x384,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Lil-Pig-001.png,AUG-Lil-Pig-001.png,AUG,aug-lil-pig,aug,lil-pig,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Lil-Pig-002.png,AUG-Lil-Pig-002.png,AUG,aug-lil-pig,aug,lil-pig,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Midnight-Lily.png,AUG-Midnight-Lily.png,AUG,aug-midnight-lily,aug,midnight-lily,weapon,1653120,1920x861,,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Midnight-Lily-003.png,AUG-Midnight-Lily-003.png,AUG,aug-midnight-lily,aug,midnight-lily,weapon,196608,512x384,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Midnight-Lily-002.png,AUG-Midnight-Lily-002.png,AUG,aug-midnight-lily,aug,midnight-lily,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Midnight-Lily-001.png,AUG-Midnight-Lily-001.png,AUG,aug-midnight-lily,aug,midnight-lily,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Navy-Murano-003.png,AUG-Navy-Murano-003.png,AUG,aug-navy-murano,aug,navy-murano,weapon,1653120,1920x861,003,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Navy-Murano-002.png,AUG-Navy-Murano-002.png,AUG,aug-navy-murano,aug,navy-murano,weapon,196608,512x384,002,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Navy-Murano-001.png,AUG-Navy-Murano-001.png,AUG,aug-navy-murano,aug,navy-murano,weapon,196608,512x384,001,No
/Users/nike/Github/TCSGO/Assets/Global/Weapons/AUG/AUG-Navy-Murano.png,AUG-Navy-Murano.png,AUG,aug-navy-murano,aug,navy-murano,weapon,196608,512x384,,No
